Nodos Aristas Frontera |CMF| Segundos
3500 6998 3500 2 0.00920300000000000
3500 6998 3500 2 0.00905300000000000
3500 6998 3500 2 0.00952900000000000
3500 6998 3500 2 0.00911500000000000
3500 6998 3500 2 0.00934700000000000
3500 6998 3500 2 0.00907900000000000
3500 6998 3500 2 0.00927500000000000
3500 6998 3500 2 0.00885200000000000
3500 6998 3500 2 0.00888000000000000
3500 6998 3500 2 0.00921500000000000
4000 7998 4000 2 0.00656300000000000
4000 7998 4000 2 0.00650700000000000
4000 7998 4000 2 0.00659100000000000
4000 7998 4000 2 0.00659400000000000
4000 7998 4000 2 0.00650400000000000
4000 7998 4000 2 0.00642800000000000
4000 7998 4000 2 0.00652000000000000
4000 7998 4000 2 0.00655000000000000
4000 7998 4000 2 0.00661100000000000
4000 7998 4000 2 0.00615100000000000
4500 8998 4500 2 0.00525700000000000
4500 8998 4500 2 0.00752800000000000
4500 8998 4500 2 0.00753000000000000
4500 8998 4500 2 0.00734200000000000
4500 8998 4500 2 0.00814500000000000
4500 8998 4500 2 0.00940900000000000
4500 8998 4500 2 0.00915400000000000
4500 8998 4500 2 0.00949500000000000
4500 8998 4500 2 0.01480700000000000
4500 8998 4500 2 0.00960500000000000
5000 9998 5000 2 0.00768100000000000
5000 9998 5000 2 0.00758400000000000
5000 9998 5000 2 0.00767100000000000
5000 9998 5000 2 0.00761100000000000
5500 10998 5500 2 0.22419700000000001
5500 10998 5500 2 0.00719900000000000
5000 9998 5000 2 0.00772200000000000
5000 9998 5000 2 0.00778600000000000
5000 9998 5000 2 0.00931300000000000
5000 9998 5000 2 0.01122200000000000
5000 9998 5000 2 0.01105600000000000
5000 9998 5000 2 0.00723700000000000
5500 10998 5500 2 0.00879300000000000
5500 10998 5500 2 0.00774100000000000
5500 10998 5500 2 0.01050700000000000
5500 10998 5500 2 0.00795400000000000
5500 10998 5500 2 0.00791100000000000
5500 10998 5500 2 0.00773000000000000
6000 11998 6000 2 0.00783700000000000
6500 12998 6500 2 0.00916800000000000
5500 10998 5500 2 0.00798700000000000
5500 10998 5500 2 0.01042400000000000
6000 11998 6000 2 0.00956500000000000
6000 11998 6000 2 0.00983600000000000
6000 11998 6000 2 0.01168800000000000
6000 11998 6000 2 0.01443300000000000
6000 11998 6000 2 0.00887200000000000
6000 11998 6000 2 0.00886400000000000
6000 11998 6000 2 0.00882300000000000
6000 11998 6000 2 0.00906600000000000
6000 11998 6000 2 0.00918700000000000
7000 13998 7000 2 0.00921200000000000
7000 13998 7000 2 0.00766900000000000
6500 12998 6500 2 0.00957100000000000
6500 12998 6500 2 0.00942400000000000
6500 12998 6500 2 0.00951500000000000
6500 12998 6500 2 0.01664700000000000
6500 12998 6500 2 0.02049700000000000
6500 12998 6500 2 0.00905000000000000
6500 12998 6500 2 0.00897000000000000
6500 12998 6500 2 0.00904900000000000
7500 14998 7500 2 0.01093000000000000
6500 12998 6500 2 0.00935000000000000
7500 14998 7500 2 0.01155400000000000
7000 13998 7000 2 0.01065500000000000
7000 13998 7000 2 0.01075100000000000
7000 13998 7000 2 0.01025300000000000
7000 13998 7000 2 0.01047500000000000
7000 13998 7000 2 0.00996600000000000
8000 15998 8000 2 0.01638200000000000
