Nodos Aristas Frontera |CMF| Segundos
3 3 2 1 0.00049500000000000
3 3 2 1 0.00000300000000000
5 5 2 1 0.00000600000000000
3 3 2 1 0.00000200000000000
5 5 2 1 0.00000400000000000
3 3 2 1 0.00000400000000000
5 5 2 1 0.00000900000000000
5 5 2 1 0.00065900000000000
6 6 2 1 0.00000700000000000
4 4 2 1 0.00001100000000000
4 4 2 1 0.00000400000000000
3 3 2 1 0.00000100000000000
4 4 2 1 0.00002300000000000
4 4 2 1 0.00051300000000000
5 5 2 1 0.00001100000000000
3 3 2 1 0.00000100000000000
4 4 2 1 0.00000600000000000
6 6 2 1 0.00000900000000000
5 5 2 1 0.00000400000000000
6 6 2 1 0.00001400000000000
6 6 2 1 0.00001100000000000
7 7 2 1 0.00000500000000000
6 6 2 1 0.00001800000000000
7 7 2 1 0.00000700000000000
3 3 2 1 0.00000500000000000
4 4 2 1 0.00033900000000000
6 6 2 1 0.00001200000000000
6 6 2 1 0.00000500000000000
7 7 2 1 0.00001000000000000
7 7 2 1 0.00000600000000000
4 4 2 1 0.00032800000000000
7 7 2 1 0.00000600000000000
6 6 2 1 0.00001100000000000
7 7 2 1 0.00000500000000000
5 5 2 1 0.00083400000000000
8 8 2 1 0.00000600000000000
4 4 2 1 0.00002300000000000
8 8 2 1 0.00000400000000000
5 5 2 1 0.00070300000000000
8 8 2 1 0.00000500000000000
7 7 2 1 0.00000800000000000
8 8 2 1 0.00000400000000000
9 9 2 1 0.00000500000000000
9 9 2 1 0.00000900000000000
5 5 2 1 0.00000700000000000
6 6 2 1 0.00001300000000000
9 9 2 1 0.00000700000000000
4 4 2 1 0.00043200000000000
6 6 2 1 0.00001300000000000
9 9 2 1 0.00000800000000000
9 9 2 1 0.00000600000000000
8 8 2 1 0.00000600000000000
8 8 2 1 0.00000600000000000
9 9 2 1 0.00000600000000000
10 10 2 1 0.00000600000000000
8 8 2 1 0.00000500000000000
7 7 2 1 0.00001300000000000
3 3 2 1 0.00000800000000000
9 9 2 1 0.00000700000000000
10 10 2 1 0.00000600000000000
10 10 2 1 0.00000700000000000
3 3 2 1 0.00000800000000000
8 8 2 1 0.00000500000000000
11 11 2 1 0.00001500000000000
4 4 2 1 0.00036000000000000
11 11 2 1 0.00001800000000000
10 10 2 1 0.00001000000000000
11 11 2 1 0.00001200000000000
11 11 2 1 0.00001200000000000
8 8 2 1 0.00000600000000000
11 11 2 1 0.00000800000000000
9 9 2 1 0.00000600000000000
7 7 2 1 0.00001900000000000
12 12 2 1 0.00000700000000000
11 11 2 1 0.00000800000000000
10 10 2 1 0.00000800000000000
10 10 2 1 0.00000900000000000
12 12 2 1 0.00000800000000000
12 12 2 1 0.00000800000000000
13 13 2 1 0.00000800000000000
7 7 2 1 0.00000600000000000
12 12 2 1 0.00000900000000000
12 12 2 1 0.00001800000000000
13 13 2 1 0.00000900000000000
5 5 2 1 0.00000800000000000
13 13 2 1 0.00000700000000000
13 13 2 1 0.00000900000000000
10 10 2 1 0.00000800000000000
3 3 2 1 0.00000200000000000
13 13 2 1 0.00000900000000000
13 13 2 1 0.00000700000000000
12 12 2 1 0.00000700000000000
13 13 2 1 0.00001300000000000
13 13 2 1 0.00000900000000000
13 13 2 1 0.00000900000000000
11 11 2 1 0.00001100000000000
12 12 2 1 0.00000700000000000
14 14 2 1 0.00000900000000000
11 11 2 1 0.00001300000000000
14 14 2 1 0.00000700000000000
10 10 2 1 0.00001900000000000
14 14 2 1 0.00001000000000000
14 14 2 1 0.00001100000000000
15 15 2 1 0.00001700000000000
15 15 2 1 0.00001500000000000
11 11 2 1 0.00001900000000000
15 15 2 1 0.00000800000000000
14 14 2 1 0.00001000000000000
10 10 2 1 0.00000600000000000
10 10 2 1 0.00000800000000000
14 14 2 1 0.00000800000000000
14 14 2 1 0.00000900000000000
16 16 2 1 0.00001300000000000
12 12 2 1 0.00000900000000000
13 13 2 1 0.00001000000000000
12 12 2 1 0.00000900000000000
15 15 2 1 0.00001000000000000
16 16 2 1 0.00001800000000000
15 15 2 1 0.00000800000000000
