Nodos Aristas Frontera |CMF| Segundos
4500 13494 87 3 0.11258899999999999
3500 10494 54 3 0.04852900000000000
3500 10494 70 3 0.05496200000000000
3500 10494 70 3 0.06289300000000000
3500 10494 66 3 0.06302800000000000
3500 10494 65 3 0.07202799999999999
3500 10494 36 3 0.07655099999999999
3500 10494 51 3 0.07866800000000000
3500 10494 53 3 0.08389099999999999
3500 10494 88 3 0.10977600000000000
3500 10494 91 3 0.11992300000000000
4000 11994 58 4 0.03017200000000000
4000 11994 63 3 0.06150000000000000
4000 11994 68 3 0.06255500000000000
4000 11994 45 3 0.07541100000000001
4000 11994 84 3 0.07551300000000000
4000 11994 65 3 0.08192300000000000
4000 11994 54 3 0.08413400000000000
4000 11994 81 3 0.08861600000000000
4000 11994 71 3 0.09278400000000001
4000 11994 87 3 0.10419000000000000
4500 13494 71 3 0.08177600000000000
4500 13494 85 3 0.10642900000000000
4500 13494 74 3 0.12356300000000001
4500 13494 107 3 0.11428700000000000
4500 13494 43 3 0.05586700000000000
4500 13494 73 3 0.08571100000000000
4500 13494 66 3 0.08948299999999999
5000 14994 60 3 0.09308000000000000
4500 13494 76 3 0.10480900000000000
5000 14994 77 3 0.11704900000000000
4500 13494 71 3 0.09277199999999999
5000 14994 71 3 0.12013699999999999
5000 14994 64 3 0.05441300000000000
5000 14994 60 3 0.05146800000000000
5000 14994 82 3 0.12398000000000001
5000 14994 60 3 0.08033200000000000
5000 14994 77 3 0.11828000000000000
5000 14994 72 3 0.11747800000000000
5000 14994 74 3 0.11112200000000000
