Nodos Aristas Frontera |CMF| Segundos
4000 1498504 1999 2 2.90560399999999985
3500 1147129 1749 2 2.07329400000000019
3500 1147129 1749 2 2.12427000000000010
3500 1147129 1749 2 2.11150700000000002
3500 1147129 1749 2 2.15607000000000015
3500 1147129 1749 2 2.17660300000000007
3500 1147129 1749 2 2.17408199999999985
3500 1147129 1749 2 2.21468499999999979
3500 1147129 1749 2 2.17565099999999978
3500 1147129 1749 2 2.18144999999999989
3500 1147129 1749 2 2.20971999999999991
4000 1498504 1999 2 2.93343100000000012
4000 1498504 1999 2 2.90311800000000009
4000 1498504 1999 2 2.82465000000000011
4000 1498504 1999 2 2.82740400000000003
4000 1498504 1999 2 2.85901000000000005
4000 1498504 1999 2 2.82099600000000006
4000 1498504 1999 2 2.90410499999999994
4000 1498504 1999 2 2.90956100000000006
4000 1498504 1999 2 2.97383400000000009
4500 1896754 2249 2 3.98882300000000001
4500 1896754 2249 2 3.99912799999999979
4500 1896754 2249 2 4.02083000000000013
4500 1896754 2249 2 4.14863499999999963
4500 1896754 2249 2 4.13051000000000013
4500 1896754 2249 2 3.99370499999999984
4500 1896754 2249 2 4.04793800000000026
5000 2341879 2499 2 4.02332800000000024
4500 1896754 2249 2 3.86639400000000011
4500 1896754 2249 2 3.82102699999999995
4500 1896754 2249 2 3.93611500000000003
5000 2341879 2499 2 3.87270899999999996
5000 2341879 2499 2 3.84500799999999998
5000 2341879 2499 2 3.96536100000000014
5000 2341879 2499 2 4.03587700000000016
5000 2341879 2499 2 3.96679700000000013
5000 2341879 2499 2 3.98569700000000005
5000 2341879 2499 2 4.04069500000000037
5000 2341879 2499 2 4.00751499999999972
5000 2341879 2499 2 4.02860599999999991
