Nodos Aristas Frontera |CMF| Segundos
3500 3500 2 1 0.00666800000000000
4500 4500 2 1 0.00377500000000000
4500 4500 2 1 0.00074300000000000
4500 4500 2 1 0.00070900000000000
4500 4500 2 1 0.00071200000000000
4500 4500 2 1 0.00074600000000000
4500 4500 2 1 0.00073500000000000
5000 5000 2 1 0.00722700000000000
5000 5000 2 1 0.00079900000000000
3500 3500 2 1 0.00425400000000000
3500 3500 2 1 0.00425400000000000
3500 3500 2 1 0.00427000000000000
3500 3500 2 1 0.00415600000000000
3500 3500 2 1 0.00424100000000000
3500 3500 2 1 0.00420400000000000
3500 3500 2 1 0.00424200000000000
3500 3500 2 1 0.00431600000000000
3500 3500 2 1 0.00418600000000000
5000 5000 2 1 0.00079600000000000
5000 5000 2 1 0.00080100000000000
5500 5500 2 1 0.00388500000000000
4000 4000 2 1 0.00585500000000000
4000 4000 2 1 0.00415100000000000
4000 4000 2 1 0.00400500000000000
4000 4000 2 1 0.00384000000000000
4000 4000 2 1 0.00397100000000000
4000 4000 2 1 0.00386500000000000
4000 4000 2 1 0.00408800000000000
4000 4000 2 1 0.00391300000000000
4000 4000 2 1 0.00381300000000000
4000 4000 2 1 0.00408100000000000
4500 4500 2 1 0.00400400000000000
4500 4500 2 1 0.00367700000000000
4500 4500 2 1 0.00366100000000000
4500 4500 2 1 0.00373100000000000
5000 5000 2 1 0.00471700000000000
5000 5000 2 1 0.00455600000000000
5000 5000 2 1 0.00462200000000000
5000 5000 2 1 0.00447200000000000
5500 5500 2 1 0.00418700000000000
5000 5000 2 1 0.00428000000000000
5000 5000 2 1 0.00443200000000000
6000 6000 2 1 0.00415400000000000
5500 5500 2 1 0.00499500000000000
5500 5500 2 1 0.00494400000000000
5500 5500 2 1 0.00500400000000000
5500 5500 2 1 0.00484100000000000
5500 5500 2 1 0.00475900000000000
5500 5500 2 1 0.00455400000000000
5500 5500 2 1 0.00657400000000000
5500 5500 2 1 0.00839400000000000
6000 6000 2 1 0.00475200000000000
6000 6000 2 1 0.00462300000000000
6000 6000 2 1 0.00514700000000000
6000 6000 2 1 0.00517400000000000
6000 6000 2 1 0.00520000000000000
6000 6000 2 1 0.00432200000000000
6000 6000 2 1 0.00414600000000000
6000 6000 2 1 0.00445800000000000
6000 6000 2 1 0.00442800000000000
6500 6500 2 1 0.00433000000000000
6500 6500 2 1 0.00491400000000000
6500 6500 2 1 0.00502700000000000
6500 6500 2 1 0.00496900000000000
6500 6500 2 1 0.00474500000000000
6500 6500 2 1 0.00478400000000000
6500 6500 2 1 0.00500900000000000
6500 6500 2 1 0.00477800000000000
6500 6500 2 1 0.00494500000000000
6500 6500 2 1 0.00476000000000000
7000 7000 2 1 0.00524500000000000
7000 7000 2 1 0.00513500000000000
7000 7000 2 1 0.00529500000000000
7000 7000 2 1 0.00490600000000000
7000 7000 2 1 0.00475400000000000
7000 7000 2 1 0.00494200000000000
7000 7000 2 1 0.00497600000000000
7000 7000 2 1 0.00461000000000000
7000 7000 2 1 0.00485000000000000
7000 7000 2 1 0.00447600000000000
7500 7500 2 1 0.00530600000000000
7500 7500 2 1 0.00562300000000000
7500 7500 2 1 0.00582300000000000
7500 7500 2 1 0.00629500000000000
7500 7500 2 1 0.00523700000000000
7500 7500 2 1 0.00543200000000000
7500 7500 2 1 0.00583100000000000
7500 7500 2 1 0.00534900000000000
7500 7500 2 1 0.00533500000000000
7500 7500 2 1 0.00567400000000000
8000 8000 2 1 0.00617900000000000
8000 8000 2 1 0.00568300000000000
8000 8000 2 1 0.00575600000000000
8000 8000 2 1 0.00562100000000000
8000 8000 2 1 0.00536800000000000
8000 8000 2 1 0.00515400000000000
8000 8000 2 1 0.00537600000000000
8000 8000 2 1 0.00545900000000000
8000 8000 2 1 0.00522300000000000
8000 8000 2 1 0.00535100000000000
8500 8500 2 1 0.00610300000000000
8500 8500 2 1 0.00531300000000000
8500 8500 2 1 0.00613400000000000
8500 8500 2 1 0.00497800000000000
8500 8500 2 1 0.00533900000000000
8500 8500 2 1 0.00575800000000000
8500 8500 2 1 0.00529400000000000
8500 8500 2 1 0.00577300000000000
8500 8500 2 1 0.00532200000000000
8500 8500 2 1 0.00538300000000000
9000 9000 2 1 0.00650500000000000
9000 9000 2 1 0.00639000000000000
9000 9000 2 1 0.00686400000000000
9000 9000 2 1 0.00640500000000000
9000 9000 2 1 0.00652200000000000
9000 9000 2 1 0.00649800000000000
9000 9000 2 1 0.00687000000000000
9000 9000 2 1 0.00656500000000000
9000 9000 2 1 0.00601600000000000
9000 9000 2 1 0.00628900000000000
9500 9500 2 1 0.00600600000000000
9500 9500 2 1 0.00615600000000000
9500 9500 2 1 0.00567300000000000
9500 9500 2 1 0.00574500000000000
9500 9500 2 1 0.00422000000000000
9500 9500 2 1 0.00487500000000000
9500 9500 2 1 0.00494200000000000
9500 9500 2 1 0.00551800000000000
9500 9500 2 1 0.00500100000000000
9500 9500 2 1 0.00417200000000000
10000 10000 2 1 0.00423000000000000
10000 10000 2 1 0.00441500000000000
10000 10000 2 1 0.00406500000000000
10000 10000 2 1 0.00363400000000000
10000 10000 2 1 0.00192400000000000
10000 10000 2 1 0.00164600000000000
10000 10000 2 1 0.00237400000000000
10000 10000 2 1 0.00225100000000000
10000 10000 2 1 0.00150200000000000
10000 10000 2 1 0.00233600000000000
