Nodos Aristas Frontera |CMF| Segundos
3500 1147129 1749 2 2.15299800000000019
3500 1147129 1749 2 2.12245300000000015
3500 1147129 1749 2 2.12825899999999990
3500 1147129 1749 2 2.14895600000000009
3500 1147129 1749 2 2.16364000000000001
3500 1147129 1749 2 2.14776500000000015
3500 1147129 1749 2 2.21055199999999985
3500 1147129 1749 2 2.20157999999999987
3500 1147129 1749 2 2.15089700000000006
3500 1147129 1749 2 2.15466200000000008
4500 1896754 2249 2 4.14017400000000002
4000 1498504 1999 2 2.76483999999999996
4000 1498504 1999 2 2.84623299999999979
4000 1498504 1999 2 2.81114800000000020
4000 1498504 1999 2 2.85351599999999994
4000 1498504 1999 2 2.81929499999999988
4000 1498504 1999 2 2.84849700000000006
4000 1498504 1999 2 2.84837300000000004
4000 1498504 1999 2 2.83807700000000018
4000 1498504 1999 2 2.91231600000000013
4000 1498504 1999 2 3.03167300000000006
4500 1896754 2249 2 4.09449600000000036
4500 1896754 2249 2 4.19717499999999966
4500 1896754 2249 2 4.16828600000000016
4500 1896754 2249 2 3.93376100000000006
5000 2341879 2499 2 3.96382300000000010
4500 1896754 2249 2 3.80237200000000009
4500 1896754 2249 2 3.93068499999999998
4500 1896754 2249 2 3.92922899999999986
4500 1896754 2249 2 3.89426300000000003
4500 1896754 2249 2 3.84616999999999987
5000 2341879 2499 2 3.85915400000000020
5000 2341879 2499 2 4.00592900000000007
5000 2341879 2499 2 3.86667400000000017
5000 2341879 2499 2 3.90080200000000010
5000 2341879 2499 2 3.86026699999999989
5000 2341879 2499 2 3.97443100000000005
5000 2341879 2499 2 3.97953100000000015
5000 2341879 2499 2 4.02035199999999993
5000 2341879 2499 2 4.92190800000000017
