Nodos Aristas Frontera |CMF| Segundos
3500 375200 925 4 0.06321900000000000
3500 521942 1570 5 0.07760000000000000
3500 700840 2120 5 0.14901200000000001
3500 887453 3235 6 0.20066999999999999
4000 909883 2917 6 0.21359000000000000
4000 925074 2859 6 0.15936100000000000
3500 808488 2932 6 2.15610200000000019
4500 749548 1732 5 0.12447200000000000
4500 1158262 3225 6 0.24096899999999999
3500 1272577 5373 7 0.31365399999999999
5000 66225 66 3 0.00604800000000000
4000 1247974 4539 7 0.28265899999999999
3500 1406642 6541 8 0.34708800000000001
4000 1669693 6996 8 0.45837200000000000
4000 1748679 6398 7 0.47357600000000000
5000 697195 1477 5 0.10061400000000000
4500 1794102 5747 7 0.43833299999999997
4000 332309 744 4 0.20510200000000001
4500 1641788 4651 6 0.35419899999999999
5000 772089 1669 5 0.11427500000000000
4000 441048 1140 5 0.20581500000000000
3500 1911293 10221 9 5.92986400000000025
3500 2011809 10811 9 6.58788600000000013
5000 2442818 7109 7 0.50351599999999996
3500 1037303 4229 7 0.28442099999999998
4000 2240623 10385 9 6.93802900000000022
4500 2196909 8141 8 5.94255599999999973
4500 2020280 6644 7 5.93989399999999979
4000 1728136 7091 8 0.53152699999999997
5000 2876705 9389 8 7.46953699999999987
4500 2991655 12287 9 8.23787699999999923
4500 3110955 12960 9 9.82878400000000063
5000 3033739 10141 8 7.95381800000000005
5000 2959504 9917 8 8.45597000000000065
4500 3296109 15003 10 8.82457100000000061
5000 3705136 13808 9 9.86646900000000038
5000 3707275 13915 9 10.01373000000000069
5000 4058992 16605 10 11.07223899999999972
4000 1924810 8063 8 6.09178200000000025
4500 2943876 12110 9 9.77364200000000061
