Nodos Aristas Frontera |CMF| Segundos
3500 2440833 14420 10 7.77740999999999971
3500 2304885 13480 10 7.35527399999999965
4000 2901386 14978 10 9.58120199999999933
3500 3306381 27088 14 11.33409100000000080
4000 3519505 19785 11 11.74238700000000080
4500 3503114 16043 10 11.80606099999999969
4000 3669004 24267 13 12.47410299999999950
3500 3708229 38703 18 13.37602399999999925
4000 3636176 22417 12 12.41378100000000018
3500 3787449 37741 17 13.64606500000000011
4000 4420472 36193 16 15.19572999999999929
4500 5331278 36376 15 18.53496200000000016
4500 5494555 35016 14 19.09111100000000150
5000 5804579 28516 12 19.89996400000000065
5000 6295323 35922 14 22.11787700000000001
4500 6392292 55114 19 23.27422800000000080
4500 6535176 56192 19 23.88735700000000151
5000 7627871 52960 17 28.15262699999999896
5000 8035757 65620 20 30.29722100000000040
5000 8137920 62880 19 30.75659299999999874
