Nodos Aristas Frontera |CMF| Segundos
4000 683959 3998 2 1.40856800000000004
3500 968691 3498 2 0.97445499999999996
3500 1034724 3498 2 1.07383800000000007
3500 1065931 3498 2 1.04694400000000010
3500 1288276 3498 2 0.97790900000000003
3500 1436875 3498 2 1.06460400000000011
4500 546875 4498 2 1.74155299999999991
4500 1569339 4498 2 1.74560300000000002
3500 3058011 3498 2 1.04474700000000009
4500 521339 4498 2 1.75201999999999991
4000 1853775 3998 2 1.28033899999999989
5000 149100 4998 2 1.87541000000000002
3500 2125476 3498 2 1.03283700000000001
3500 2585019 3498 2 1.05283600000000011
3500 2710851 3498 2 1.09384299999999990
3500 2876739 3498 2 1.09967100000000007
4000 3173719 3998 2 1.43318100000000004
4000 3345519 3998 2 1.40845400000000009
4000 3358399 3998 2 1.39740899999999990
4000 3613116 3998 2 1.48285899999999993
4000 3745984 3998 2 1.39300800000000002
4000 3847119 3998 2 1.36686500000000000
4000 3761856 3998 2 1.40155000000000007
4000 3968671 3998 2 1.45668200000000003
4500 4140900 4498 2 1.74465500000000007
5000 2486400 4998 2 2.31612200000000001
5000 3481104 4998 2 1.77279999999999993
5000 3243244 4998 2 1.81353300000000006
5000 1998156 4998 2 2.40106999999999982
4500 4203171 4498 2 1.42022899999999996
4500 4268619 4498 2 1.53877899999999990
4500 5013659 4498 2 1.70970899999999992
4500 5045076 4498 2 1.86053800000000003
4500 4780539 4498 2 1.39423999999999992
4500 5060736 4498 2 1.50506099999999998
5000 3319056 4998 2 2.29543900000000001
5000 6249039 4998 2 2.19201099999999993
5000 5265936 4998 2 1.67931000000000008
5000 5969100 4998 2 1.99512099999999992
5000 6156364 4998 2 2.03112400000000015
